x,y
49.054456,-128.636216
12.284925,-69.090655
-40.439355,-87.780922
82.400348,76.811635
-72.739482,71.575597
21.255143,57.787134
66.052985,-133.695809
-97.861353,-16.473599
122.288465,-12.28586
-5.404877,82.677931
28.323634,-129.622824
-15.344922,-65.133357
4.721919,24.79589
64.75852,-17.946761
-66.67284,115.093243
-32.666058,141.233856
66.690147,36.266966
43.210718,-61.232553
6.711074,108.92894
73.864359,118.915368
112.819733,36.902861
-71.506923,30.890252
65.857042,-4.312786
-61.289169,89.668831
-48.138673,-139.405753
-89.366074,20.324276
-23.978275,-114.447218
8.548159,67.660139
-74.659769,-24.040587
28.218117,-22.879934
28.221468,-37.52566
61.095348,8.428966
99.338447,31.812659
-134.045652,36.321197
35.650338,116.194784
-74.886615,-107.250781
-132.315453,0.532148
-146.559386,18.324667
59.293216,-92.650304
-95.742219,48.012423
33.0101,20.214136
-54.129782,-35.169738
66.328312,31.981997
84.748689,-121.4612
-27.463341,-12.312567
125.018595,-25.92749
31.721379,55.903327
-2.916311,15.95272
-2.106114,111.029803
23.762743,23.06058
52.196128,-20.832171
51.955489,-76.366827
43.122555,48.651297
-52.409779,85.024674
7.777523,1.828112
11.366268,-102.971666
15.784559,-58.814267
-35.97396,-94.788185
-18.656217,15.13396
68.533522,-60.456097
-35.175379,-25.697761
66.11443,-125.886087
-33.70948,-23.613768
76.818183,24.776945
132.816738,-64.998053
-90.285398,114.050573
-33.367696,139.895189
126.253348,-30.528864
-28.552703,77.499013
5.922209,-127.671097
123.893658,29.29263
-4.085379,110.007215
122.905968,72.202155
-110.977758,-43.68653
-45.73069,-62.531872
22.426887,-80.74749
-13.36101,-120.304908
115.686277,-49.715225
141.7094,-27.943181
32.175165,-18.092079
12.533976,-20.932301
-76.823472,-23.713864
111.172464,22.862258
-5.095551,-111.299479
34.917363,-57.957003
30.953876,95.633292
-101.950747,-68.892737
67.228611,-120.053996
-83.625239,13.358846
-43.182298,85.576546
-82.898512,-78.297359
-90.751081,47.818954
-50.598297,-65.156623
-17.747135,81.262978
53.013219,55.268307
33.270776,10.853821
-75.965732,88.207999
-109.66267,-84.65061
79.769433,-8.416755
-144.845582,-6.515413
-55.844474,53.674761
97.90266,-64.468188
-47.367372,-56.138027
22.831084,96.281626
-20.313124,-146.686169
82.967205,-108.450841
-35.363295,8.340873
120.693288,55.704004
-66.067223,115.094821
126.097468,44.94935
-52.254477,-106.944142
-87.352908,14.26856
98.461745,46.173055
37.243409,-123.289661
-83.709066,-16.051093
-14.941834,-48.214792
-48.441707,-43.268935
58.239439,100.167212
55.867464,-128.646699
38.811891,13.188043
148.05431,-19.671377
12.870711,112.972246
3.941943,36.610947
-136.540091,19.80113
98.550006,-46.03719
42.791487,58.49629
94.317148,-63.589103
-33.467821,31.978397
-33.949667,-103.771819
19.754048,76.63598
-132.225127,-16.496034
-40.913213,56.483019
96.368425,-82.199729
-97.981775,-57.591264
-53.19076,68.670144
-100.825374,-27.290056
-93.136459,115.022597
-83.262833,30.732922
-41.938665,-132.633496
-49.508636,-2.730075
37.301904,-94.704823
-30.435123,120.908405
6.824476,-138.932534
93.167316,-79.918786
-113.248544,-51.655972
40.221235,-66.754395
-4.319572,66.267939
-70.461171,-44.340056
-62.518248,-55.723795
52.189863,-75.572705
103.270437,51.323247
91.4915,103.19381
-37.363136,-47.703179
-68.234726,-130.807483
-67.248681,42.333646
58.70014,-28.81822
10.353589,50.529953
-96.747041,27.933128
49.775199,-10.968936
-17.924297,24.566917
-22.22008,114.882681
40.065533,-79.573578
57.750153,-13.172755
44.39245,120.430537
-44.127716,105.22883
13.92893,-82.21379
-95.383907,112.40659
-55.526596,-123.958711
128.595806,47.811081
-71.865783,-74.673551
0.792681,70.430922
-13.084408,-106.478258
-38.337335,-41.888231
25.752537,-141.181044
-11.801347,-124.051551
-39.760086,22.720765
-102.525508,-50.679232
-119.295469,21.100371
107.384832,43.89164
-111.16527,9.01178
-113.351857,-75.968149
-24.653673,-138.805932
45.125234,-19.479508
86.349298,-71.451111
-84.444136,-101.585
-8.822668,-103.951463
-60.847316,-21.824933
-60.608846,-15.714748
-46.834165,1.064851
-48.401388,137.685333
-43.123192,129.50982
-119.365571,9.367554
-3.285903,45.284286
21.954684,-110.349901
-65.694422,-113.778254
7.753095,14.390789
-133.452389,-55.727135
-20.74668,22.115557
23.225597,143.468915
36.393173,-22.999081
4.418847,82.789483
-67.10874,35.489769
89.054908,68.362959
119.707455,-28.235019
77.566775,70.644959
-42.241563,-130.464272
-78.425698,64.072969
2.099389,35.361502
-36.174464,-8.339588
-59.232545,-51.649583
116.693815,19.418363
67.136512,38.66075
137.985135,-53.182276
103.205743,-75.438086
51.927246,-64.26985
61.975199,109.455705
-54.35547,126.745292
0.701452,-9.830448
4.642221,114.311076
2.95599,-19.289218
-147.528538,-18.643516
66.074452,69.650563
-46.468772,-133.070521
-30.525823,122.744912
35.045355,45.534631
-63.899326,121.601531
34.844816,-63.425154
-45.138727,138.664254
15.506325,-24.467308
-15.513395,128.861194
-24.752005,-50.46607
-102.182973,-81.130297
-1.151358,-2.890762
-47.761292,-94.894068
84.708485,33.151831
60.471804,100.03293
30.527731,-32.566359
-130.150511,17.390748
-98.970604,64.608865
92.475749,-114.6549
10.545792,-86.143631
-64.067349,-132.474347
-117.194406,-56.39343
124.337343,4.405694
-11.768788,-123.493232
-73.129817,62.326244
66.193857,-64.224047
130.590659,-10.321543
85.568131,-57.53897
88.927474,55.426071
141.000746,46.388156
127.150262,51.983633
-47.94035,132.086017
-35.991673,-22.613885
60.610405,-74.476315
124.292935,-38.768755
-60.459601,13.080314
126.988617,-8.79234
105.186162,4.099112
-60.766206,88.69349
129.067886,34.214382
-8.884103,38.542408
-126.966911,64.724051
-102.615146,62.764264
55.22241,7.43018
65.580119,-50.784478
-62.683936,-35.556339
-98.190935,-39.451914
100.50128,-49.402358
-74.982078,95.141117
62.413008,79.532173
36.146537,87.947299
26.755564,-55.280324
-125.761082,69.669181
56.526711,-93.928784
37.095983,-2.438903
-14.097364,-109.867016
86.560516,-121.661547
-73.604046,-109.023261
54.176411,65.665098
-20.351671,-10.619453
33.252556,137.347994
-21.204013,107.937253
77.325687,-112.262739
-39.953859,-55.287569
36.734156,-89.696959
-115.480912,-57.155596
-131.333083,-18.925513
-4.9621,-124.210616
-96.764305,78.90618
17.626702,-6.649596
19.532337,18.495324
135.909961,-31.628782
28.780664,-36.417545
32.511717,-24.958256
84.786701,107.123002
51.949229,38.437144
-1.325072,84.992203
35.814169,-86.324315
-9.514293,112.732289
-59.555966,-5.117937
5.295062,-90.699977
-31.935533,-37.617166
-66.749666,17.878686
35.682848,-26.33685
-22.13456,10.118957
25.498076,46.081357
30.062752,97.67727
-34.196923,-53.936957
29.895178,72.006116
-12.304167,-122.980351
57.384418,12.892377
-12.217211,-47.154582
-77.879626,-114.73867
-80.479277,-86.016706
97.457466,-59.40456
49.273413,-134.465319
111.278566,37.227717
136.423444,54.370329
-50.296788,-128.464159
-61.690647,122.595494
7.37224,142.718312
-60.519086,-69.099704
5.75543,-38.480042
72.584168,-73.384371
107.571631,37.113486
-9.014825,88.784958
-37.283959,30.083471
62.069232,-106.626856
-6.96342,134.793224
-82.046934,-21.752623
27.161715,114.287872
-88.763372,120.410539
49.156388,-22.106809
-91.36751,-0.902467
37.484879,-94.337237
40.426827,68.342622
40.988207,24.347065
120.221163,60.982108
-25.2919,-41.045966
37.213498,24.498745
-51.477643,-66.258571
-51.159685,140.676824
-15.437195,85.246624
-137.888874,41.064971
42.261951,95.883768
116.565519,35.276218
-50.472733,111.205658
-26.289122,-38.7094
13.928357,-131.584487
-31.775413,99.414312
132.927834,-51.60883
-17.777647,-82.063762
-26.67714,24.256073
72.924853,-76.03281
95.570212,57.884406
72.167492,-84.944544
121.722555,71.827429
-119.530648,73.490791
88.150137,-110.20984
-90.849429,78.459311
33.748635,3.93166
-125.497762,10.523527
115.840698,65.377264
81.363785,-7.025625
99.366094,6.108863
25.496071,-103.852737
-133.468148,-15.803583
129.743281,-37.864992
-89.02731,26.114247
-27.530761,5.313267
25.279604,-147.098155
28.897468,-25.151842
37.096764,-78.278571
-131.592603,-34.494607
36.896364,-142.269251
63.777997,-134.1183
-57.264186,-128.983919
133.353908,57.802919
26.550223,27.416164
-74.372733,-78.264615
-69.645087,-8.112572
-54.091282,91.815949
-117.901318,-78.166575
-100.936494,41.813044
133.690289,48.943189
88.407262,-70.389915
69.322457,-5.928586
24.079321,69.202934
40.892746,34.877029
45.338601,-36.629325
-20.471954,-21.806003
31.83126,103.508118
87.950068,-91.575744
50.943721,42.901299
82.944789,90.63142
80.190435,-88.443776
11.270391,-82.10028
25.573725,-13.033923
109.661459,70.218174
35.885953,-104.997507
85.192991,-88.483
-58.501511,117.030703
-49.930911,-106.340919
95.318491,87.331139
94.153793,78.397834
57.161429,120.955658
-24.82356,85.57156
-51.111609,89.146056
28.815138,71.803142
58.690765,-90.541716
80.122563,59.645539
61.586389,91.001162
10.759729,-27.658653
-87.427989,-104.744201
